rule,ticker,entry,exit,hold_days,return_pct,baseline_pct,excess_pct,max_drawdown_pct
fixed_10,AVGO,2023-12-26,2024-01-11,11,-2.81917733804683,-2.4011442584924643,-0.4180330795543658,-7.322264772912657
fixed_10,AVGO,2025-01-06,2025-01-23,11,1.636976694674419,5.885458070217102,-4.248481375542683,-5.1182346649420225
fixed_10,MRVL,2024-12-24,2025-01-13,11,-0.6395272512814798,-3.0030406307009834,2.3635133794195036,-4.743424302921307
fixed_10,MRVL,2026-04-16,2026-05-01,11,23.678496471886092,11.366603324323869,12.311893147562222,-7.447454999620184
fixed_10,MRVL,2026-04-30,2026-05-15,11,7.10869017349407,10.98045639724347,-3.8717662237493995,-7.051982850970706
fixed_10,MRVL,2026-06-09,2026-06-25,11,5.388193733317315,6.63083866294939,-1.2426449296320752,-10.908612890464708
fixed_10,MRVL,2026-06-25,2026-07-13,11,-22.639673846097075,-11.190560902100913,-11.449112943996163,-26.958386088855534
fixed_10,ALAB,2024-11-21,2024-12-09,11,17.20130192111695,6.849509415672881,10.35179250544407,-7.184791035208827
fixed_10,ALAB,2025-08-05,2025-08-20,11,27.23181753756636,0.9269563572029811,26.304861180363382,-11.660814863781576
fixed_10,ALAB,2025-08-19,2025-09-04,11,9.873728300424567,6.1798507033837975,3.6938775970407693,-7.882626954500493
fixed_10,ALAB,2026-05-29,2026-06-15,11,13.51903318605201,3.3709479711344392,10.148085214917572,-12.785390849377364
fixed_10,ALAB,2026-06-12,2026-06-30,11,31.55930737938575,4.282807221583261,27.276500157802484,-10.899334264792982
fixed_10,ALAB,2026-06-29,2026-07-15,11,-23.102903393283547,-10.707371264768488,-12.39553212851506,-27.410872615612767
fixed_10,CRDO,2024-06-13,2024-07-01,11,7.878364675956706,-0.40281931690102946,8.281183992857736,-6.573085344483765
fixed_10,CRDO,2024-12-24,2025-01-13,11,-3.0609383148143987,-3.0030406307009834,-0.05789768411341538,-9.916490781115018
fixed_10,CRDO,2025-06-17,2025-07-03,11,17.438215638603104,13.036776804533169,4.401438834069937,-7.848507600578369
fixed_10,CRDO,2025-07-02,2025-07-18,11,4.587667391873174,3.854016517119491,0.733650874753683,-8.889750894570525
fixed_10,CRDO,2025-09-19,2025-10-06,11,-13.057324668807958,6.858196045777583,-19.91552071458554,-15.705358142394488
fixed_10,LITE,2025-09-17,2025-10-02,11,3.9243319491996553,8.516547856454643,-4.592215907254987,-10.932944606413997
fixed_10,LITE,2025-11-19,2025-12-05,11,23.23738922881158,9.393565841734693,13.843823387076887,-13.267888648294457
fixed_10,LITE,2025-12-04,2025-12-19,11,13.29265998503768,-3.529785940617873,16.822445925655554,-15.033997955324708
fixed_10,LITE,2026-02-20,2026-03-09,11,-4.055290938166545,-3.8925721225581515,-0.1627188156083932,-28.70220205025136
fixed_10,LITE,2026-04-02,2026-04-20,11,8.251497202235502,25.103140071629742,-16.85164286939424,-8.167834506229122
fixed_10,CIEN,2025-09-18,2025-10-03,11,9.714578610789104,6.000139442180018,3.7144391686090863,-1.6561497199255037
fixed_10,CIEN,2025-10-02,2025-10-17,11,11.980867841857945,3.436880769433541,8.543987072424404,-4.687976370840518
