rule,ticker,entry,exit,hold_days,return_pct,baseline_pct,excess_pct,max_drawdown_pct
fixed_10,ANET,2025-08-07,2025-08-22,11,-4.329407547491448,2.9868421307147326,-7.316249678206181,-6.923892941095133
fixed_10,AVGO,2023-12-11,2023-12-27,11,9.92075518105835,18.58488188461859,-8.66412670356024,-2.7475282581537197
fixed_10,AVGO,2023-12-26,2024-01-11,11,-2.81917733804683,-2.4011442584924643,-0.4180330795543658,-7.322264772912657
fixed_10,AVGO,2024-06-13,2024-07-01,11,-1.9642816671998187,-0.40281931690102946,-1.5614623502987892,-13.290195421001815
fixed_10,AVGO,2024-12-13,2024-12-31,11,3.4080003738601983,-7.316547043248675,10.724547417108873,-12.672003074167382
fixed_10,AVGO,2025-01-06,2025-01-23,11,1.636976694674419,5.885458070217102,-4.248481375542683,-5.1182346649420225
fixed_10,AVGO,2025-09-08,2025-09-23,11,-1.7732589319303993,16.57142838456063,-18.34468731649103,-8.171522119104646
fixed_10,MRVL,2024-01-17,2024-02-01,11,2.3102978728006596,7.991161718466181,-5.680863845665521,-7.4847665983484575
fixed_10,MRVL,2024-03-08,2024-03-25,11,-12.330939087998427,2.9709183227396427,-15.301857410738071,-13.736413363232625
fixed_10,MRVL,2024-12-04,2024-12-19,11,-7.651289853083087,-7.890268499743218,0.2389786466601304,-15.627496887029901
fixed_10,MRVL,2024-12-24,2025-01-13,11,-0.6395272512814798,-3.0030406307009834,2.3635133794195036,-4.743424302921307
fixed_10,MRVL,2025-06-26,2025-07-14,11,-9.254273375876043,3.0252717150774044,-12.279545090953448,-10.52894711964074
fixed_10,MRVL,2025-09-30,2025-10-15,11,5.8033179225951415,10.04289634896967,-4.239578426374528,-7.387382696120182
fixed_10,MRVL,2026-03-09,2026-03-24,11,-0.3130101051920908,6.30860105753282,-6.621611162724911,-6.087896899193401
fixed_10,MRVL,2026-04-01,2026-04-17,11,30.97172653001912,25.494694494184678,5.477032035834439,-0.9138255374493864
fixed_10,MRVL,2026-04-16,2026-05-01,11,23.678496471886092,11.366603324323869,12.311893147562222,-7.447454999620184
fixed_10,MRVL,2026-04-30,2026-05-15,11,7.10869017349407,10.98045639724347,-3.8717662237493995,-7.051982850970706
fixed_10,MRVL,2026-05-26,2026-06-10,11,21.285890287406637,-5.424660681830259,26.710550969236902,-20.175081160241515
fixed_10,MRVL,2026-06-09,2026-06-25,11,5.388193733317315,6.63083866294939,-1.2426449296320752,-10.908612890464708
fixed_10,MRVL,2026-06-25,2026-07-13,11,-22.639673846097075,-11.190560902100913,-11.449112943996163,-26.958386088855534
fixed_10,ALAB,2024-09-27,2024-10-14,11,21.375184097274214,4.944726290204977,16.43045780706924,-8.893875365316772
fixed_10,ALAB,2024-10-11,2024-10-28,11,9.266756753541161,2.957667222480524,6.3090895310606365,-6.32778687391834
fixed_10,ALAB,2024-11-05,2024-11-20,11,1.5743868722554177,8.812759801515371,-7.2383729292599535,-12.9405898374624
fixed_10,ALAB,2024-11-21,2024-12-09,11,17.20130192111695,6.849509415672881,10.35179250544407,-7.184791035208827
fixed_10,ALAB,2024-12-20,2025-01-08,11,-1.0592372821968565,1.2754925122423737,-2.3347297944392302,-10.314788792235586
fixed_10,ALAB,2025-07-22,2025-08-06,11,49.1660199529772,7.009055914134894,42.15696403884231,-4.546553205077508
fixed_10,ALAB,2025-08-05,2025-08-20,11,27.23181753756636,0.9269563572029811,26.304861180363382,-11.660814863781576
fixed_10,ALAB,2025-08-19,2025-09-04,11,9.873728300424567,6.1798507033837975,3.6938775970407693,-7.882626954500493
fixed_10,ALAB,2025-09-19,2025-10-06,11,-9.946981930345123,6.858196045777583,-16.805177976122703,-20.67699738142499
fixed_10,ALAB,2026-04-22,2026-05-07,11,0.8193323497340366,11.476794503355832,-10.657462153621795,-13.874271418618623
fixed_10,ALAB,2026-05-14,2026-06-01,11,39.99737455929269,9.333770026549129,30.66360453274356,-8.328326022149168
fixed_10,ALAB,2026-05-29,2026-06-15,11,13.51903318605201,3.3709479711344392,10.148085214917572,-12.785390849377364
fixed_10,ALAB,2026-06-12,2026-06-30,11,31.55930737938575,4.282807221583261,27.276500157802484,-10.899334264792982
fixed_10,ALAB,2026-06-29,2026-07-15,11,-23.102903393283547,-10.707371264768488,-12.39553212851506,-27.410872615612767
fixed_10,CRDO,2023-11-28,2023-12-13,11,0.21586080246362993,7.008255980722327,-6.792395178258697,-8.363639534293831
fixed_10,CRDO,2024-05-30,2024-06-14,11,12.417277385728177,7.795640662443002,4.621636723285174,-5.331796723896398
fixed_10,CRDO,2024-06-13,2024-07-01,11,7.878364675956706,-0.40281931690102946,8.281183992857736,-6.573085344483765
fixed_10,CRDO,2024-12-03,2024-12-18,11,-5.9838777915445345,-4.031296105342628,-1.9525816862019054,-13.967638725601738
fixed_10,CRDO,2024-12-24,2025-01-13,11,-3.0609383148143987,-3.0030406307009834,-0.05789768411341538,-9.916490781115018
fixed_10,CRDO,2025-01-21,2025-02-05,11,-2.3675176455492886,-6.816137725175697,4.448620079626409,-34.97076201857182
fixed_10,CRDO,2025-06-03,2025-06-18,11,19.007228193795967,5.396054504713947,13.611173689082017,-10.371436568309079
fixed_10,CRDO,2025-06-17,2025-07-03,11,17.438215638603104,13.036776804533169,4.401438834069937,-7.848507600578369
fixed_10,CRDO,2025-07-02,2025-07-18,11,4.587667391873174,3.854016517119491,0.733650874753683,-8.889750894570525
fixed_10,CRDO,2025-09-05,2025-09-22,11,16.53174092350236,19.464056757665638,-2.9323158341632793,-4.764663438803851
fixed_10,CRDO,2025-09-19,2025-10-06,11,-13.057324668807958,6.858196045777583,-19.91552071458554,-15.705358142394488
fixed_10,CRDO,2025-12-04,2025-12-19,11,-17.018568205699815,-3.529785940617873,-13.48878226508194,-25.86225611302502
fixed_10,CRDO,2026-04-21,2026-05-06,11,8.166040455932455,18.64058654507559,-10.474546089143132,-14.93026872415193
fixed_10,CRDO,2026-06-02,2026-06-17,11,8.877730057229115,-4.7662517198930905,13.643981777122205,-9.661586397616507
fixed_10,CRDO,2026-06-17,2026-07-06,11,6.505428886534359,-6.140552822177856,12.645981708712215,-21.32751267908978
fixed_10,COHR,2024-02-06,2024-02-22,11,4.258622794315725,8.065199554754496,-3.806576760438771,-8.933439985786196
fixed_10,COHR,2024-06-05,2024-06-21,11,7.760300082660354,5.324604124677501,2.435695957982853,-4.0416401155567545
fixed_10,COHR,2024-08-20,2024-09-05,11,-5.461490450484896,-6.224008207435799,0.7625177569509027,-10.38524114965018
fixed_10,COHR,2024-09-26,2024-10-11,11,13.20061114406743,3.5574506706681137,9.643160473399318,-3.9168958979744706
fixed_10,COHR,2024-11-19,2024-12-05,11,4.230219340152885,9.061909002434833,-4.831689662281947,-7.217181985160925
fixed_10,COHR,2025-02-10,2025-02-26,11,-16.292976232718193,-9.92460865976175,-6.368367572956443,-18.71664074660212
fixed_10,COHR,2025-11-07,2025-11-24,11,-1.7474577983515038,-9.728703863747688,7.981246065396184,-18.66002902025432
fixed_10,COHR,2025-12-12,2025-12-30,11,4.749355946299061,-0.7134268461649141,5.462782792463975,-4.488649282050239
fixed_10,COHR,2026-02-06,2026-02-24,11,11.937811318043634,4.377880945630971,7.559930372412663,-10.871896345965059
fixed_10,COHR,2026-03-02,2026-03-17,11,-17.767889986842867,-0.8368516200055853,-16.93103836683728,-21.140143075584984
fixed_10,COHR,2026-03-20,2026-04-07,11,0.57958490415293,5.214344701379934,-4.634759797227004,-19.344176283650672
fixed_10,LITE,2024-02-06,2024-02-22,11,-14.819852478058849,8.065199554754496,-22.885052032813345,-22.52719414300045
fixed_10,LITE,2024-08-15,2024-08-30,11,10.237279871120752,2.1802606301264125,8.05701924099434,-4.664523249861707
fixed_10,LITE,2024-11-08,2024-11-25,11,3.9952278295568577,4.017319145224082,-0.022091315667224082,-8.539628493701379
fixed_10,LITE,2025-02-10,2025-02-26,11,-11.509825790370531,-9.92460865976175,-1.585217130608782,-14.085195743369628
fixed_10,LITE,2025-08-13,2025-08-28,11,12.74224342266952,4.6826139036382415,8.059629519031278,-4.6660571019838
fixed_10,LITE,2025-09-03,2025-09-18,11,27.87056832961534,19.693851623054435,8.176716706560908,-4.423638284722764
fixed_10,LITE,2025-09-17,2025-10-02,11,3.9243319491996553,8.516547856454643,-4.592215907254987,-10.932944606413997
fixed_10,LITE,2025-11-05,2025-11-20,11,0.21052867590292124,-17.657174907530734,17.867703583433656,-13.267888648294457
fixed_10,LITE,2025-11-19,2025-12-05,11,23.23738922881158,9.393565841734693,13.843823387076887,-13.267888648294457
fixed_10,LITE,2025-12-04,2025-12-19,11,13.29265998503768,-3.529785940617873,16.822445925655554,-15.033997955324708
fixed_10,LITE,2026-02-05,2026-02-23,11,33.76352295851461,10.057116238240935,23.706406720273677,-3.5512341819457616
fixed_10,LITE,2026-02-20,2026-03-09,11,-4.055290938166545,-3.8925721225581515,-0.1627188156083932,-28.70220205025136
fixed_10,LITE,2026-03-19,2026-04-06,11,0.019429942252435772,-0.7185139754340211,0.7379439176864568,-18.35434531595753
fixed_10,LITE,2026-04-02,2026-04-20,11,8.251497202235502,25.103140071629742,-16.85164286939424,-8.167834506229122
fixed_10,CIEN,2024-09-27,2024-10-14,11,9.577741226520487,4.944726290204977,4.63301493631551,-4.648376331282966
fixed_10,CIEN,2024-10-11,2024-10-28,11,-6.396969190484148,2.957667222480524,-9.354636412964672,-6.396969190484148
fixed_10,CIEN,2024-12-12,2024-12-30,11,0.5797509614599017,-6.00125276074573,6.581003722205632,-7.921879821214006
fixed_10,CIEN,2025-09-04,2025-09-19,11,18.34587520027813,17.686380343655124,0.6594948566230052,-0.9207556382665127
fixed_10,CIEN,2025-09-18,2025-10-03,11,9.714578610789104,6.000139442180018,3.7144391686090863,-1.6561497199255037
fixed_10,CIEN,2025-10-02,2025-10-17,11,11.980867841857945,3.436880769433541,8.543987072424404,-4.687976370840518
fixed_10,CIEN,2025-12-19,2026-01-07,11,12.559691384792426,4.423306946630063,8.136384438162363,-6.161100468392611
fixed_10,CIEN,2026-02-06,2026-02-24,11,26.308419193545006,4.377880945630971,21.930538247914036,-1.9216673978488696
fixed_10,FN,2024-08-27,2024-09-12,11,-9.965902174523034,-3.7827764705483164,-6.183125703974717,-15.904844222714154
fixed_10,FN,2024-09-20,2024-10-07,11,4.638109175332161,5.669754460341025,-1.0316452850088635,-4.174838214645982
