ticker,category,date,price,volume_ratio,price_change_pct,fwd_5d_pct,base_5d_pct,excess_5d_pct,fwd_10d_pct,base_10d_pct,excess_10d_pct,fwd_20d_pct,base_20d_pct,excess_20d_pct,fwd_30d_pct,base_30d_pct,excess_30d_pct,market_cap_busd,size_bucket,persistence_days,persistence_bucket
ALAB,Networking and Optics,2025-08-05,135.54,1.52,15.9,41.66,4.66,36.99,26.21,1.32,24.89,30.3,5.42,24.88,83.99,24.46,59.53,23.51417099616,3. $10B - $50B,8,3. persistent (6-9 days)
ALAB,Networking and Optics,2025-08-19,171.06,1.93,26.2,4.38,3.93,0.46,3.24,3.62,-0.38,45.79,21.73,24.05,13.7,30.97,-17.27,29.676361890240003,3. $10B - $50B,14,4. very persistent (10+ days)
ALAB,Networking and Optics,2025-09-19,245.2,1.8,28.2,-19.34,-2.13,-17.21,-18.13,5.43,-23.56,-34.83,9.2,-44.03,-23.87,18.33,-42.2,42.53854750079999,3. $10B - $50B,1,1. brief (1-2 days)
ALAB,Networking and Optics,2026-04-22,194.06,1.54,54.7,1.44,-0.91,2.35,10.23,15.16,-4.93,48.14,11.16,36.98,84.5,32.88,51.63,33.66651928224,3. $10B - $50B,1,1. brief (1-2 days)
ALAB,Networking and Optics,2026-05-14,228.64,1.52,17.4,30.27,-2.3,32.57,49.95,6.56,43.39,60.58,5.87,54.71,99.42,7.59,91.83,39.66563417856,3. $10B - $50B,1,1. brief (1-2 days)
ALAB,Networking and Optics,2026-05-29,342.85,1.96,50.0,-7.52,-3.48,-4.04,7.09,-0.44,7.52,32.99,1.17,31.82,5.52,-7.44,12.96,59.4793679064,4. over $50B,11,4. very persistent (10+ days)
ALAB,Networking and Optics,2026-06-12,367.15,1.57,7.1,19.75,8.24,11.51,24.19,1.54,22.65,-1.46,-7.02,5.56,-29.12,-17.8,-11.32,63.695055933599996,4. over $50B,11,4. very persistent (10+ days)
ALAB,Networking and Optics,2026-06-29,455.96,1.81,24.2,-16.03,-9.42,-6.6,-20.66,-8.28,-12.38,-42.93,-18.59,-24.34,-31.58,-9.77,-21.8,79.10226801984,4. over $50B,9,3. persistent (6-9 days)
CRDO,Networking and Optics,2023-11-28,18.53,1.51,13.3,0.92,3.03,-2.11,0.32,4.87,-4.54,7.07,23.44,-16.37,6.85,15.31,-8.46,3.48242936098,2. $2B - $10B,1,1. brief (1-2 days)
CRDO,Networking and Optics,2024-05-30,25.69,1.54,35.9,0.58,0.83,-0.24,12.65,8.57,4.08,24.33,7.47,16.86,28.8,17.97,10.84,4.82804156954,2. $2B - $10B,1,1. brief (1-2 days)
CRDO,Networking and Optics,2024-06-13,28.94,1.63,12.7,-5.01,-1.25,-3.76,10.37,-1.07,11.43,14.34,7.89,6.45,-5.39,-3.27,-2.12,5.43882923404,2. $2B - $10B,11,4. very persistent (10+ days)
CRDO,Networking and Optics,2024-12-03,70.69,2.13,74.1,-6.27,-1.65,-4.62,-1.22,0.91,-2.12,0.34,-4.27,4.61,13.2,1.98,11.22,13.28510153954,3. $10B - $50B,1,1. brief (1-2 days)
CRDO,Networking and Optics,2024-12-24,71.22,1.73,7.5,-0.41,-2.57,2.16,3.62,-1.81,5.43,-21.93,-7.86,-14.07,8.23,1.01,7.21,13.38470691252,3. $10B - $50B,9,3. persistent (6-9 days)
CRDO,Networking and Optics,2025-01-21,81.52,1.58,12.6,-28.67,-12.64,-16.02,-6.46,-9.15,2.69,-11.97,-4.71,-7.27,-42.68,-20.44,-22.24,15.32043397232,3. $10B - $50B,1,1. brief (1-2 days)
CRDO,Networking and Optics,2025-06-03,71.92,1.51,16.1,-4.71,4.02,-8.73,10.83,3.79,7.05,24.26,15.43,8.84,36.89,19.43,17.46,13.51626117872,3. $10B - $50B,1,1. brief (1-2 days)
CRDO,Networking and Optics,2025-06-17,79.71,1.87,10.8,15.67,4.65,11.02,12.12,11.05,1.07,23.51,15.18,8.33,39.94,22.13,17.81,14.980272226859999,3. $10B - $50B,11,4. very persistent (10+ days)
CRDO,Networking and Optics,2025-07-02,89.37,1.68,12.1,8.86,0.72,8.14,10.16,3.74,6.42,24.82,10.3,14.52,31.29,13.44,17.84,16.79572110042,3. $10B - $50B,14,4. very persistent (10+ days)
CRDO,Networking and Optics,2025-09-05,140.82,1.5,27.0,15.03,9.51,5.53,20.41,15.58,4.83,2.17,22.76,-20.59,1.98,28.07,-26.09,26.46495966612,3. $10B - $50B,1,1. brief (1-2 days)
CRDO,Networking and Optics,2025-09-19,169.56,1.62,20.4,-15.71,-2.13,-13.57,-15.15,5.43,-20.58,-15.3,9.2,-24.51,10.65,18.33,-7.68,31.86620196696,3. $10B - $50B,10,4. very persistent (10+ days)
CRDO,Networking and Optics,2025-12-04,180.92,1.53,27.5,-14.62,3.83,-18.45,-23.41,-7.7,-15.7,-22.49,0.77,-23.25,-15.31,8.33,-23.64,34.001139772719995,3. $10B - $50B,1,1. brief (1-2 days)
CRDO,Networking and Optics,2026-04-21,183.32,1.55,71.7,-9.49,-0.56,-8.94,5.59,12.31,-6.72,-7.82,10.76,-18.58,17.06,38.27,-21.21,34.452182971119996,3. $10B - $50B,1,1. brief (1-2 days)
